Date,Close,High,Low,Open,Volume
2021-11-29,3106.28662109375,3130.5462562837033,3021.5333834239445,3057.6343867946935,2981745
2021-11-30,3130.368896484375,3161.0593099027783,3096.5297932993612,3096.5297932993612,5588446
2021-12-01,3173.521240234375,3184.3426398781166,3135.5574462309587,3135.5574462309587,2102118
2021-12-02,3231.26513671875,3235.7889414326537,3170.2394658907515,3183.633089526473,3152938
2021-12-03,3229.092041015625,3251.7106316157765,3220.5769368394936,3234.414062333308,2486263
2021-12-06,3136.799072265625,3244.658783850488,3124.026308562444,3229.091829206644,1849642
2021-12-07,3179.464111328125,3191.4386588251064,3126.06654283749,3159.950033925637,1484458
2021-12-08,3217.072998046875,3234.4139602705127,3194.099693371914,3194.099693371914,1428660
2021-12-09,3194.765380859375,3224.036501167103,3163.055000526003,3202.083160936307,1567957
2021-12-10,3225.854248046875,3230.466622758769,3171.1261775123917,3179.9074252032365,1510718
2021-12-13,3201.772216796875,3248.2069383784756,3194.7205820190884,3237.562895980731,1883864
2021-12-14,3214.32373046875,3224.258127606222,3172.5457737481966,3197.648019262842,1747007
2021-12-15,3166.91357421875,3213.614229855621,3156.0919564259625,3210.953218900731,1603233
2021-12-16,3176.891845703125,3200.7077599220047,3166.602518405637,3177.2465604843114,2072320
2021-12-17,3179.3310546875,3238.7602886798354,3169.884337561044,3195.4300814535413,4333992
2021-12-20,3154.982421875,3198.5343770244094,3113.5150114130224,3183.4553186745993,2312310
2021-12-21,3200.5751953125,3229.7575276974712,3163.4096138189643,3177.82342259873,2340989
2021-12-22,3220.48828125,3225.8546962749856,3198.756693316205,3214.501007023342,1224328
2021-12-23,3248.828125,3255.746796566607,3219.823149853367,3235.7892150592515,1792861
2021-12-24,3256.10107421875,3286.3479803080686,3232.950412710677,3268.607910238929,2209923
2021-12-27,3278.45361328125,3281.9128401940757,3240.312464057373,3256.1897395547167,1534135
2021-12-28,3287.72314453125,3304.088317180793,3276.458242438429,3290.783263554562,1456218
2021-12-29,3277.2119140625,3299.608753298073,3268.6080230926227,3275.0387987147183,1456923
2021-12-30,3311.849365234375,3317.3931371882327,3264.172926431202,3265.370467794672,1966475
2021-12-31,3315.929931640625,3335.1334725940915,3309.676513068789,3319.8770542748616,1207141
2022-01-03,3386.357666015625,3397.2234590635435,3321.8281603636997,3326.2631779342787,2346158
2022-01-04,3445.787109375,3449.689838451158,3380.9914554484494,3398.1994545927564,2488606
2022-01-05,3424.676513671875,3432.7039395803245,3381.6124454860555,3428.268921570531,1733031
2022-01-06,3377.221923828125,3401.658917117096,3345.777688491704,3381.2578336506826,1810293
2022-01-07,3418.06787109375,3428.1796240286867,3367.419886343486,3388.3532548535422,2460591
2022-01-10,3441.440185546875,3528.499481558679,3424.7200850422473,3528.499481558679,3937092
2022-01-11,3473.4169921875,3481.4888108289488,3420.285568039854,3420.285568039854,1906106
2022-01-12,3423.7451171875,3485.037152715186,3403.033713010251,3481.4891383067206,3203744
2022-01-13,3457.450439453125,3479.7143112420686,3421.1720872956053,3475.2792942764277,6684507
2022-01-14,3519.763427734375,3527.613496615076,3423.878463629816,3439.6671718235552,3348123
2022-01-17,3565.0,3586.1551199160176,3514.573981387204,3541.538800935803,3442604
2022-01-18,3539.67626953125,3585.002018651542,3530.2739457678194,3578.1277414958386,2389041
2022-01-19,3478.409912109375,3564.91152862164,3474.722465771417,3564.91152862164,3102539
2022-01-20,3400.128173828125,3483.164278875193,3386.3109864268777,3474.278655714797,6176776
2022-01-21,3406.30322265625,3422.3418138894167,3350.8570276785663,3382.756324156083,3112358
2022-01-24,3351.07861328125,3420.6528490636674,3323.3110488936,3412.0783119544003,3258414
2022-01-25,3349.790283203125,3384.888487297155,3307.4059130384235,3349.434945125185,3330501
2022-01-27,3242.585693359375,3317.3581176759967,3221.1270024404544,3315.2256551137434,5718297
